title,director,year,country,genres,image,synopsis,mubi_url,film_id
A Cambodian Spring,Christopher Kelly,2016,"United Kingdom, Cambodia",Documentary,https://assets.mubicdn.net/images/film/170676/image-w448.jpg,"Over the course of six years, three land-rights activists are caught up in the chaotic and often violent wave of change that is shaping modern-day Cambodia. The three speak out against the injustices taking place all around them in the name of progress, development, and democracy.",https://mubi.com/en/films/a-cambodian-spring,170676
A Chiara,Jonas Carpignano,2021,"Italy, France",Drama,https://assets.mubicdn.net/images/film/297974/image-w448.jpg,"The story of 15-year-old Chiara whose close-knit family falls apart after her father abandons them in Calabria. Chiara starts to investigate to understand why her father disappeared and as she gets closer to the truth, she is forced to decide what kind of future she wants for herself.",https://mubi.com/en/films/a-chiara,297974
A Christmas Tale,Arnaud Desplechin,2008,France,"Comedy, Drama",https://assets.mubicdn.net/images/film/474/image-w448.jpg,"Junon is the matriarch of the troubled Vuillard family, who come together at Christmas after she learns she needs a bone marrow transplant from a blood relative. But this is no simple family reunion, as blinding grudges, unrequited loves, and brutal outbursts come to the surface.",https://mubi.com/en/films/a-christmas-tale,474
A Complete Unknown,James Mangold,2024,United States,"Biography, Music",https://assets.mubicdn.net/images/film/406554/image-w448.jpg,A young Bob Dylan shakes up the folk music scene when he plugs in his electric guitar at the Newport Folk Festival in 1965.,https://mubi.com/en/films/a-complete-unknown,406554
A Couple,Frederick Wiseman,2022,"France, United States",Drama,https://assets.mubicdn.net/images/film/350951/image-w448.jpg,"A film about a long term relationship between a man and a woman. The man is Leo Tolstoy. The woman is his wife, Sophia. They were married for 36 years and had 13 children. Each kept a diary. Although they lived together, in the same house, they wrote letters to each other frequently.",https://mubi.com/en/films/a-couple-2022,350951
A Cup of Turkish Coffee,"Nazlı Eda Noyan, Dağhan Celayir",2013,"France, Turkey","Animation, Short",https://assets.mubicdn.net/images/film/434605/image-w448.jpg,"An old woman and her granddaughter sit around a table and go through old family photographs. The old woman tries to resist looking at these pictures, yet she cannot resist what the past evokes.",https://mubi.com/en/films/a-cup-of-turkish-coffee,434605
A Date for Mad Mary,Darren Thornton,2016,Ireland,"Drama, Comedy, Romance",https://assets.mubicdn.net/images/film/159962/image-w448.jpg,"Mary returns to her small Irish hometown after a brief stint in prison. Her best friend, Charlene, is about to get married, and Mary is the maid of honor. However, when Charlene refuses Mary a plus one, believing she’ll struggle to find a date, Mary becomes determined to prove her wrong.",https://mubi.com/en/films/a-date-for-mad-mary,159962
A Different Kind of Mourn,Beril Tan,2022,Turkey,"Short, Drama",https://assets.mubicdn.net/images/film/377402/image-w448.jpg,"Gün returns to her hometown following the death of her beloved grandmother. Although overwhelmed by the intricacies of mourning ceremonies, she manages to navigate the obstacles one by one. However, one significant obligation remains insurmountable.",https://mubi.com/en/films/a-different-kind-of-mourn,377402
A Different Man,Aaron Schimberg,2024,United States,"Thriller, Comedy",https://assets.mubicdn.net/images/film/347490/image-w448.jpg,"An aspiring actor undergoes a radical medical procedure to drastically transform his appearance. However, his new dream face quickly turns into a nightmare, as he loses out on the role he was born to play and becomes obsessed with reclaiming what was lost.",https://mubi.com/en/films/a-different-man,347490
A Dirty Story,Jean Eustache,1977,France,"Comedy, Drama",https://assets.mubicdn.net/images/film/26971/image-w448.jpg,"A group of friends listen as one man tells them a story about a time when, in a small cafe, he discovered a peephole into the ladies’ bathroom and became addicted to looking through it at female genitals. They ask him questions and come to conclusions about sex.",https://mubi.com/en/films/a-dirty-story,26971
A Dog Called Money,Seamus Murphy,2019,"Ireland, United Kingdom","Documentary, Music",https://assets.mubicdn.net/images/film/225137/image-w448.jpg,"Award-winning war photographer and filmmaker Seamus Murphy explores the creative inspiration behind PJ Harvey’s album The Hope Six Demolition Project, filming her in a London recording studio and charting their travels together in Afghanistan, Kosovo and the U.S.",https://mubi.com/en/films/a-dog-called-money,225137
A Dream Longer Than the Night,Niki De Saint Phalle,1976,France,Fantasy,https://assets.mubicdn.net/images/film/189523/image-w448.jpg,"Magically aged into adulthood, Princess Camélia traverses a phantasmagoric landscape of enchanted beings, goblins, and ghouls. On her journey through this surreal world, she confronts a series of frightful encounters and the perils of patriarchy awaiting her in womanhood.",https://mubi.com/en/films/a-dream-longer-than-the-night,189523
A E I O U: A Quick Alphabet of Love,Nicolette Krebitz,2022,"Germany, France","Drama, Romance",https://assets.mubicdn.net/images/film/332341/image-w448.jpg,"Anna, an out-of-work actress in Berlin, is mugged by a young man. But later that day, she meets him again… as his speech teacher. Their lessons grow into an unlikely friendship, then a pact. Cheered on by each other’s affection, without a penny to their name, they leave town and head for the sea.",https://mubi.com/en/films/a-e-i-o-u-a-quick-alphabet-of-love,332341
A Family Film,Uğur Bayazıt,2019,Turkey,"Short, Documentary",https://assets.mubicdn.net/images/film/413939/image-w448.jpg,"Set in 1970s Istanbul, A Family Film captures the everyday life of a family through Super 8mm home movies, with the mother’s narration guiding viewers through their shared memories and moments.",https://mubi.com/en/films/a-family-film,413939
A Field in England,Ben Wheatley,2013,United Kingdom,"Horror, Drama, History",https://assets.mubicdn.net/images/film/107205/image-w448.jpg,"England, the 1640s Civil War. A group of men flee from a raging battle but they are captured and forced to take part in a hunt for treasure supposedly buried somewhere in a field. But before they start digging, they gobble up some strange-looking mushrooms and then everything goes pear-shaped.",https://mubi.com/en/films/a-field-in-england,107205
A Fantastic Woman,Sebastián Lelio,2017,"Chile, Germany","Drama, LGBTQ+",https://assets.mubicdn.net/images/film/163017/image-w448.jpg,"Marina, a trans nightclub singer, comes under suspicion when her much older cis lover Orlando suddenly dies. After being harassed and threatened by her late boyfriend’s vengeful relatives and the police, she must defend her rights as both Orlando’s partner and as a human being.",https://mubi.com/en/films/a-fantastic-woman,163017
